General,number_of_battles,WAR,aWAR
Napoleon,43,30.16527290152732,0.7015179744541237
"Arthur Wellesley, 1st Duke of Wellington",18,14.223504873201843,0.7901947151778802
Julius Caesar,17,12.73201279163247,0.7489419289195571
Takeda Shingen,18,12.090567294135532,0.6716981830075296
Khalid ibn al-Walid,14,10.580267796253109,0.7557334140180793
Ulysses S. Grant,16,9.85764716582431,0.6161029478640194
Hannibal,17,9.65707155233417,0.5680630324902453
Oda Nobunaga,11,8.43542494919301,0.7668568135630008
Alexander the Great,9,8.254001204380838,0.9171112449312042
Frederick the Great,14,8.189264180846225,0.584947441489016
Capital punishment,16,-10.994660767985946,-0.6871662979991217
Max von Gallwitz,10,-9.0562673190694,-0.90562673190694
John Bell Hood,10,-8.40200468848781,-0.8402004688487811
Jean-de-Dieu Soult,11,-7.4807401883257985,-0.6800672898477998
Prince Charles Alexander of Lorraine,7,-7.289040908368029,-1.0412915583382898
John S. Marmaduke,13,-6.6116708426553235,-0.5085900648196403
Fritz von Below,9,-6.435897777056877,-0.7150997530063197
Braxton Bragg,8,-6.307476573943343,-0.7884345717429179
Robert E. Lee,27,-6.011855859348865,-0.22266132812403203
Franz Conrad von H̦tzendorf,6,-5.625434585874073,-0.9375724309790122
Lin Biao,4,4.367712325954634,1.0919280814886585
Liu Bocheng,3,3.1015586845294782,1.0338528948431593
Stefan Czarniecki,3,3.0464908926732965,1.0154969642244323
Seleucus I Nicator,4,3.995640242591092,0.998910060647773
Hannibal Mago,3,2.941586407408054,0.9805288024693514
Masaharu Homma,3,2.938623590765695,0.9795411969218982
Maurice de Saxe,3,2.929811669228452,0.9766038897428174
Fernando d'Avalos,3,2.9187456716344395,0.9729152238781466
Georg von Frundsberg,3,2.9187456716344395,0.9729152238781466
Robert Guiscard,3,2.8814967916601093,0.9604989305533698
Adolf Hitler,3,-3.732906692486889,-1.244302230828963
Wei Lihuang,3,-3.591545722847323,-1.1971819076157744
Joseph Bonaparte,3,-3.2644190365478414,-1.0881396788492805
"Karl August, Prince of Waldeck and Pyrmont",3,-3.2044415209518338,-1.0681471736506112
Andrea Doria,4,-4.2571667958000745,-1.0642916989500186
Jonathan M. Wainwright (general),3,-3.1786132184299056,-1.0595377394766352
Jacques MacDonald,3,-3.1740499731595047,-1.0580166577198349
Conrad III of Germany,3,-3.167453808649273,-1.0558179362164244
"William Alexander, Lord Stirling",3,-3.1565673221629957,-1.0521891073876652
Lal Singh,3,-3.1565143308268073,-1.0521714436089358
